Species,Processor,Duration_sec,Output_size_MB,Num_models
Caenorhabditis elegans,1,917.13,3.13,24912
Caenorhabditis elegans,2,474.51,3.13,24912
Caenorhabditis elegans,3,319.83,3.13,24912
Caenorhabditis elegans,4,249.62,3.13,24912
Caenorhabditis elegans,5,206.32,3.13,24912
Caenorhabditis elegans,6,176.36,3.13,24912
Caenorhabditis elegans,7,196.51,3.13,24912
Caenorhabditis elegans,8,151.24,3.13,24912
Caenorhabditis elegans,9,129.34,3.13,24912
Caenorhabditis elegans,10,119.04,3.13,24912
Caenorhabditis elegans,11,112.92,3.13,24912
Caenorhabditis elegans,12,109.54,3.13,24912
Caenorhabditis elegans,13,105.72,3.13,24912
Caenorhabditis elegans,14,95.43,3.13,24912
Caenorhabditis elegans,15,91.68,3.13,24912
Caenorhabditis elegans,16,96.45,3.13,24912
Caenorhabditis elegans,17,97.42,3.13,24912
Caenorhabditis elegans,18,84.52,3.13,24912
Caenorhabditis elegans,19,85.13,3.13,24912
Caenorhabditis elegans,20,75.18,3.13,24912
Caenorhabditis elegans,21,75.08,3.13,24912
Caenorhabditis elegans,22,75.57,3.13,24912
Caenorhabditis elegans,23,77,3.13,24912
Caenorhabditis elegans,24,77.1,3.13,24912
Caenorhabditis elegans,25,71.14,3.13,24912
Caenorhabditis elegans,26,66,3.13,24912
Caenorhabditis elegans,27,70.27,3.13,24912
Caenorhabditis elegans,28,72.7,3.13,24912
Caenorhabditis elegans,29,70.8,3.13,24912
Caenorhabditis elegans,30,71.6,3.13,24912
Caenorhabditis elegans,31,75.63,3.13,24912
Caenorhabditis elegans,32,70.51,3.13,24912
Caenorhabditis elegans,33,74.1,3.13,24912
Caenorhabditis elegans,34,68.81,3.13,24912
Caenorhabditis elegans,35,68.6,3.13,24912
Caenorhabditis elegans,36,68.83,3.13,24912
Caenorhabditis elegans,37,73.24,3.13,24912
Caenorhabditis elegans,38,71.28,3.13,24912
Caenorhabditis elegans,39,70.6,3.13,24912
Caenorhabditis elegans,40,65.96,3.13,24912
Caenorhabditis elegans,41,66.06,3.13,24912
Caenorhabditis elegans,42,66.92,3.13,24912
Caenorhabditis elegans,43,69.87,3.13,24912
Caenorhabditis elegans,44,72.98,3.13,24912
Caenorhabditis elegans,45,73.42,3.13,24912
Caenorhabditis elegans,46,72.47,3.13,24912
Caenorhabditis elegans,47,76.37,3.13,24912
Caenorhabditis elegans,48,73.92,3.13,24912
Caenorhabditis elegans,49,77.13,3.13,24912
Caenorhabditis elegans,50,72.47,3.13,24912
Caenorhabditis elegans,51,76.56,3.13,24912
Caenorhabditis elegans,52,76.8,3.13,24912
Caenorhabditis elegans,53,77.71,3.13,24912
Caenorhabditis elegans,54,76.59,3.13,24912
Caenorhabditis elegans,55,78.26,3.13,24912
Caenorhabditis elegans,56,77.65,3.13,24912
Caenorhabditis elegans,57,79.4,3.13,24912
Caenorhabditis elegans,58,81.25,3.13,24912
Caenorhabditis elegans,59,83.96,3.13,24912
Caenorhabditis elegans,60,90.38,3.13,24912
Caenorhabditis elegans,61,82.78,3.13,24912
Caenorhabditis elegans,62,86.39,3.13,24912
Caenorhabditis elegans,63,86.26,3.13,24912
Caenorhabditis elegans,64,84.47,3.13,24912
Caenorhabditis elegans,65,85.72,3.13,24912
Caenorhabditis elegans,66,82.37,3.13,24912
Caenorhabditis elegans,67,88.42,3.13,24912
Caenorhabditis elegans,68,93.76,3.13,24912
Caenorhabditis elegans,69,91.97,3.13,24912
Caenorhabditis elegans,70,91.34,3.13,24912
Caenorhabditis elegans,71,93.15,3.13,24912
Caenorhabditis elegans,72,93.22,3.13,24912
Caenorhabditis elegans,73,93.48,3.13,24912
Caenorhabditis elegans,74,95.74,3.13,24912
Caenorhabditis elegans,75,98.25,3.13,24912
Caenorhabditis elegans,76,97.55,3.13,24912
Caenorhabditis elegans,77,94.17,3.13,24912
Caenorhabditis elegans,78,101.07,3.13,24912
Caenorhabditis elegans,79,96.97,3.13,24912
Caenorhabditis elegans,80,100.87,3.13,24912
Caenorhabditis elegans,81,98.99,3.13,24912
Caenorhabditis elegans,82,95.94,3.13,24912
Caenorhabditis elegans,83,100.55,3.13,24912
Caenorhabditis elegans,84,99.21,3.13,24912
Caenorhabditis elegans,85,100.83,3.13,24912
Caenorhabditis elegans,86,101.86,3.13,24912
Caenorhabditis elegans,87,105.03,3.13,24912
Caenorhabditis elegans,88,102.34,3.13,24912
Caenorhabditis elegans,89,108.05,3.13,24912
Caenorhabditis elegans,90,108.3,3.13,24912
Caenorhabditis elegans,91,109.1,3.13,24912
Caenorhabditis elegans,92,118.04,3.13,24912
Caenorhabditis elegans,93,115.32,3.13,24912
Caenorhabditis elegans,94,118.56,3.13,24912
Caenorhabditis elegans,95,120.34,3.13,24912
Caenorhabditis elegans,96,116.34,3.13,24912
Caenorhabditis elegans,97,116.08,3.13,24912
Caenorhabditis elegans,98,116.25,3.13,24912
Caenorhabditis elegans,99,117.79,3.13,24912
Caenorhabditis elegans,100,116.18,3.13,24912
Caenorhabditis elegans,101,124.69,3.13,24912
Caenorhabditis elegans,102,123.42,3.13,24912
Caenorhabditis elegans,103,123.85,3.13,24912
Caenorhabditis elegans,104,126.06,3.13,24912
Caenorhabditis elegans,105,128.36,3.13,24912
Caenorhabditis elegans,106,132.98,3.13,24912
Caenorhabditis elegans,107,136.42,3.13,24912
Caenorhabditis elegans,108,137.59,3.13,24912
Caenorhabditis elegans,109,153.03,3.13,24912
Caenorhabditis elegans,110,150.89,3.13,24912
Caenorhabditis elegans,111,158.3,3.13,24912
Caenorhabditis elegans,112,157.2,3.13,24912
Caenorhabditis elegans,113,159.63,3.13,24912
Caenorhabditis elegans,114,162.82,3.13,24912
Caenorhabditis elegans,115,154.48,3.13,24912
Caenorhabditis elegans,116,158.23,3.13,24912
Caenorhabditis elegans,117,158.23,3.13,24912
Caenorhabditis elegans,118,156.86,3.13,24912
Caenorhabditis elegans,119,154.92,3.13,24912
Caenorhabditis elegans,120,155.13,3.13,24912
Caenorhabditis elegans,121,152.71,3.13,24912
Caenorhabditis elegans,122,153.09,3.13,24912
Caenorhabditis elegans,123,156.49,3.13,24912
Caenorhabditis elegans,124,160,3.13,24912
Caenorhabditis elegans,125,163.35,3.13,24912
Caenorhabditis elegans,126,172.68,3.13,24912
Caenorhabditis elegans,127,178.14,3.13,24912
Caenorhabditis elegans,128,180.11,3.13,24912
Arabidopsis thaliana,1,1214.56,2.68,20931
Arabidopsis thaliana,2,633.57,2.68,20931
Arabidopsis thaliana,3,437.32,2.68,20931
Arabidopsis thaliana,4,346.05,2.68,20931
Arabidopsis thaliana,5,287.59,2.68,20931
Arabidopsis thaliana,6,236.4,2.68,20931
Arabidopsis thaliana,7,226.67,2.68,20931
Arabidopsis thaliana,8,194.5,2.68,20931
Arabidopsis thaliana,9,176.52,2.68,20931
Arabidopsis thaliana,10,154.02,2.68,20931
Arabidopsis thaliana,11,143.76,2.68,20931
Arabidopsis thaliana,12,150.3,2.68,20931
Arabidopsis thaliana,13,144.84,2.68,20931
Arabidopsis thaliana,14,137.03,2.68,20931
Arabidopsis thaliana,15,131.67,2.68,20931
Arabidopsis thaliana,16,133.56,2.68,20931
Arabidopsis thaliana,17,115.43,2.68,20931
Arabidopsis thaliana,18,111.48,2.68,20931
Arabidopsis thaliana,19,116.22,2.68,20931
Arabidopsis thaliana,20,115.46,2.68,20931
Arabidopsis thaliana,21,107.68,2.68,20931
Arabidopsis thaliana,22,107.5,2.68,20931
Arabidopsis thaliana,23,113.26,2.68,20931
Arabidopsis thaliana,24,112.66,2.68,20931
Arabidopsis thaliana,25,106.74,2.68,20931
Arabidopsis thaliana,26,106.08,2.68,20931
Arabidopsis thaliana,27,97.71,2.68,20931
Arabidopsis thaliana,28,103.77,2.68,20931
Arabidopsis thaliana,29,101.83,2.68,20931
Arabidopsis thaliana,30,93.66,2.68,20931
Arabidopsis thaliana,31,93.48,2.68,20931
Arabidopsis thaliana,32,97.62,2.68,20931
Arabidopsis thaliana,33,98.03,2.68,20931
Arabidopsis thaliana,34,95.06,2.68,20931
Arabidopsis thaliana,35,99.74,2.68,20931
Arabidopsis thaliana,36,103.23,2.68,20931
Arabidopsis thaliana,37,95.63,2.68,20931
Arabidopsis thaliana,38,95.55,2.68,20931
Arabidopsis thaliana,39,94.2,2.68,20931
Arabidopsis thaliana,40,100.74,2.68,20931
Arabidopsis thaliana,41,99.08,2.68,20931
Arabidopsis thaliana,42,103.62,2.68,20931
Arabidopsis thaliana,43,99.46,2.68,20931
Arabidopsis thaliana,44,109.8,2.68,20931
Arabidopsis thaliana,45,95.47,2.68,20931
Arabidopsis thaliana,46,102.24,2.68,20931
Arabidopsis thaliana,47,101.67,2.68,20931
Arabidopsis thaliana,48,104.87,2.68,20931
Arabidopsis thaliana,49,95.81,2.68,20931
Arabidopsis thaliana,50,96.6,2.68,20931
Arabidopsis thaliana,51,97.62,2.68,20931
Arabidopsis thaliana,52,101.19,2.68,20931
Arabidopsis thaliana,53,102.55,2.68,20931
Arabidopsis thaliana,54,105.96,2.68,20931
Arabidopsis thaliana,55,106.84,2.68,20931
Arabidopsis thaliana,56,103.26,2.68,20931
Arabidopsis thaliana,57,106.15,2.68,20931
Arabidopsis thaliana,58,113.3,2.68,20931
Arabidopsis thaliana,59,117.39,2.68,20931
Arabidopsis thaliana,60,118.23,2.68,20931
Arabidopsis thaliana,61,120.32,2.68,20931
Arabidopsis thaliana,62,111.13,2.68,20931
Arabidopsis thaliana,63,120.92,2.68,20931
Arabidopsis thaliana,64,114.93,2.68,20931
Arabidopsis thaliana,65,124.72,2.68,20931
Arabidopsis thaliana,66,130.46,2.68,20931
Arabidopsis thaliana,67,126.12,2.68,20931
Arabidopsis thaliana,68,122.98,2.68,20931
Arabidopsis thaliana,69,126.66,2.68,20931
Arabidopsis thaliana,70,126.13,2.68,20931
Arabidopsis thaliana,71,135.2,2.68,20931
Arabidopsis thaliana,72,135.33,2.68,20931
Arabidopsis thaliana,73,136.79,2.68,20931
Arabidopsis thaliana,74,140.61,2.68,20931
Arabidopsis thaliana,75,133.46,2.68,20931
Arabidopsis thaliana,76,138.56,2.68,20931
Arabidopsis thaliana,77,137.85,2.68,20931
Arabidopsis thaliana,78,141.4,2.68,20931
Arabidopsis thaliana,79,140.55,2.68,20931
Arabidopsis thaliana,80,138.01,2.68,20931
Arabidopsis thaliana,81,153.67,2.68,20931
Arabidopsis thaliana,82,142.03,2.68,20931
Arabidopsis thaliana,83,148.73,2.68,20931
Arabidopsis thaliana,84,146.9,2.68,20931
Arabidopsis thaliana,85,152.16,2.68,20931
Arabidopsis thaliana,86,146.37,2.68,20931
Arabidopsis thaliana,87,149.98,2.68,20931
Arabidopsis thaliana,88,155.49,2.68,20931
Arabidopsis thaliana,89,155.17,2.68,20931
Arabidopsis thaliana,90,153.21,2.68,20931
Arabidopsis thaliana,91,158.89,2.68,20931
Arabidopsis thaliana,92,163.35,2.68,20931
Arabidopsis thaliana,93,166.87,2.68,20931
Arabidopsis thaliana,94,171.47,2.68,20931
Arabidopsis thaliana,95,170.73,2.68,20931
Arabidopsis thaliana,96,174.98,2.68,20931
Arabidopsis thaliana,97,172.06,2.68,20931
Arabidopsis thaliana,98,175.64,2.68,20931
Arabidopsis thaliana,99,175.71,2.68,20931
Arabidopsis thaliana,100,169.11,2.68,20931
Arabidopsis thaliana,101,172.06,2.68,20931
Arabidopsis thaliana,102,180.63,2.68,20931
Arabidopsis thaliana,103,189.9,2.68,20931
Arabidopsis thaliana,104,190.85,2.68,20931
Arabidopsis thaliana,105,199.84,2.68,20931
Arabidopsis thaliana,106,202.57,2.68,20931
Arabidopsis thaliana,107,205.49,2.68,20931
Arabidopsis thaliana,108,205.11,2.68,20931
Arabidopsis thaliana,109,200.63,2.68,20931
Arabidopsis thaliana,110,199.91,2.68,20931
Arabidopsis thaliana,111,202.87,2.68,20931
Arabidopsis thaliana,112,198.99,2.68,20931
Arabidopsis thaliana,113,213.61,2.68,20931
Arabidopsis thaliana,114,204.22,2.68,20931
Arabidopsis thaliana,115,213.13,2.68,20931
Arabidopsis thaliana,116,207.7,2.68,20931
Arabidopsis thaliana,117,212.33,2.68,20931
Arabidopsis thaliana,118,214.43,2.68,20931
Arabidopsis thaliana,119,217.07,2.68,20931
Arabidopsis thaliana,120,221.63,2.68,20931
Arabidopsis thaliana,121,223.14,2.68,20931
Arabidopsis thaliana,122,229.91,2.68,20931
Arabidopsis thaliana,123,232.11,2.68,20931
Arabidopsis thaliana,124,240.49,2.68,20931
Arabidopsis thaliana,125,240.9,2.68,20931
Arabidopsis thaliana,126,262.19,2.68,20931
Arabidopsis thaliana,127,262.94,2.68,20931
Arabidopsis thaliana,128,246.8,2.68,20931
Danio rerio,1,1604.6,2.71,18656
Danio rerio,2,860.27,2.71,18656
Danio rerio,3,595.64,2.71,18656
Danio rerio,4,471.39,2.71,18656
Danio rerio,5,385.24,2.71,18656
Danio rerio,6,339.07,2.71,18656
Danio rerio,7,305.98,2.71,18656
Danio rerio,8,277.41,2.71,18656
Danio rerio,9,245.29,2.71,18656
Danio rerio,10,244.15,2.71,18656
Danio rerio,11,205.35,2.71,18656
Danio rerio,12,218.89,2.71,18656
Danio rerio,13,197.97,2.71,18656
Danio rerio,14,197.32,2.71,18656
Danio rerio,15,199.24,2.71,18656
Danio rerio,16,187.22,2.71,18656
Danio rerio,17,179.84,2.71,18656
Danio rerio,18,181.45,2.71,18656
Danio rerio,19,165.79,2.71,18656
Danio rerio,20,156.07,2.71,18656
Danio rerio,21,189.48,2.71,18656
Danio rerio,22,158.04,2.71,18656
Danio rerio,23,165.82,2.71,18656
Danio rerio,24,148.55,2.71,18656
Danio rerio,25,169.32,2.71,18656
Danio rerio,26,154.3,2.71,18656
Danio rerio,27,147.18,2.71,18656
Danio rerio,28,138.99,2.71,18656
Danio rerio,29,135.13,2.71,18656
Danio rerio,30,155.86,2.71,18656
Danio rerio,31,159.07,2.71,18656
Danio rerio,32,143.65,2.71,18656
Danio rerio,33,144.11,2.71,18656
Danio rerio,34,145.2,2.71,18656
Danio rerio,35,139.61,2.71,18656
Danio rerio,36,138.56,2.71,18656
Danio rerio,37,143.55,2.71,18656
Danio rerio,38,137.64,2.71,18656
Danio rerio,39,140,2.71,18656
Danio rerio,40,138.34,2.71,18656
Danio rerio,41,141.19,2.71,18656
Danio rerio,42,142.56,2.71,18656
Danio rerio,43,143.13,2.71,18656
Danio rerio,44,135.64,2.71,18656
Danio rerio,45,141.96,2.71,18656
Danio rerio,46,151.51,2.71,18656
Danio rerio,47,152.19,2.71,18656
Danio rerio,48,136.88,2.71,18656
Danio rerio,49,156.89,2.71,18656
Danio rerio,50,150.29,2.71,18656
Danio rerio,51,147,2.71,18656
Danio rerio,52,148.07,2.71,18656
Danio rerio,53,147.28,2.71,18656
Danio rerio,54,157.25,2.71,18656
Danio rerio,55,155.37,2.71,18656
Danio rerio,56,160.88,2.71,18656
Danio rerio,57,161.13,2.71,18656
Danio rerio,58,165.29,2.71,18656
Danio rerio,59,161.41,2.71,18656
Danio rerio,60,164.52,2.71,18656
Danio rerio,61,162.29,2.71,18656
Danio rerio,62,164.49,2.71,18656
Danio rerio,63,162.58,2.71,18656
Danio rerio,64,172.2,2.71,18656
Danio rerio,65,176.12,2.71,18656
Danio rerio,66,166.02,2.71,18656
Danio rerio,67,169.25,2.71,18656
Danio rerio,68,174.03,2.71,18656
Danio rerio,69,171.69,2.71,18656
Danio rerio,70,186.03,2.71,18656
Danio rerio,71,187.87,2.71,18656
Danio rerio,72,191.19,2.71,18656
Danio rerio,73,191.75,2.71,18656
Danio rerio,74,186.2,2.71,18656
Danio rerio,75,180.46,2.71,18656
Danio rerio,76,185.66,2.71,18656
Danio rerio,77,188.15,2.71,18656
Danio rerio,78,185.42,2.71,18656
Danio rerio,79,196.6,2.71,18656
Danio rerio,80,207.53,2.71,18656
Danio rerio,81,214.68,2.71,18656
Danio rerio,82,218.28,2.71,18656
Danio rerio,83,213.42,2.71,18656
Danio rerio,84,213.02,2.71,18656
Danio rerio,85,216.02,2.71,18656
Danio rerio,86,212.57,2.71,18656
Danio rerio,87,215.37,2.71,18656
Danio rerio,88,230.03,2.71,18656
Danio rerio,89,231.43,2.71,18656
Danio rerio,90,230.95,2.71,18656
Danio rerio,91,247.95,2.71,18656
Danio rerio,92,244.85,2.71,18656
Danio rerio,93,246.79,2.71,18656
Danio rerio,94,254.34,2.71,18656
Danio rerio,95,235.59,2.71,18656
Danio rerio,96,237.67,2.71,18656
Danio rerio,97,247.92,2.71,18656
Danio rerio,98,242.18,2.71,18656
Danio rerio,99,243.47,2.71,18656
Danio rerio,100,252.17,2.71,18656
Danio rerio,101,255.98,2.71,18656
Danio rerio,102,265.6,2.71,18656
Danio rerio,103,268.73,2.71,18656
Danio rerio,104,275.6,2.71,18656
Danio rerio,105,275.59,2.71,18656
Danio rerio,106,284.2,2.71,18656
Danio rerio,107,274.07,2.71,18656
Danio rerio,108,279.2,2.71,18656
Danio rerio,109,277.72,2.71,18656
Danio rerio,110,271.25,2.71,18656
Danio rerio,111,278.27,2.71,18656
Danio rerio,112,300.07,2.71,18656
Danio rerio,113,308.8,2.71,18656
Danio rerio,114,315.09,2.71,18656
Danio rerio,115,305.35,2.71,18656
Danio rerio,116,309.67,2.71,18656
Danio rerio,117,309.38,2.71,18656
Danio rerio,118,318.71,2.71,18656
Danio rerio,119,319.48,2.71,18656
Danio rerio,120,335.22,2.71,18656
Danio rerio,121,327.54,2.71,18656
Danio rerio,122,336.86,2.71,18656
Danio rerio,123,336.31,2.71,18656
Danio rerio,124,360.49,2.71,18656
Danio rerio,125,356.82,2.71,18656
Danio rerio,126,367.23,2.71,18656
Danio rerio,127,366.97,2.71,18656
Danio rerio,128,373.59,2.71,18656
Gallus gallus,1,1833.96,2.28,15710
Gallus gallus,2,1064.07,2.28,15710
Gallus gallus,3,725.58,2.28,15710
Gallus gallus,4,585.71,2.28,15710
Gallus gallus,5,474.99,2.28,15710
Gallus gallus,6,400.65,2.28,15710
